date,data,cols
2002-01-01 00:00:00,1.22262,% WEIGHTED ILI
2002-01-08 00:00:00,1.33344,% WEIGHTED ILI
2002-01-15 00:00:00,1.31929,% WEIGHTED ILI
2002-01-22 00:00:00,1.49484,% WEIGHTED ILI
2002-01-29 00:00:00,1.47195,% WEIGHTED ILI
2002-02-05 00:00:00,1.58094,% WEIGHTED ILI
2002-02-12 00:00:00,1.49426,% WEIGHTED ILI
2002-02-19 00:00:00,1.40569,% WEIGHTED ILI
2002-02-26 00:00:00,1.6141,% WEIGHTED ILI
2002-03-05 00:00:00,1.45967,% WEIGHTED ILI
2002-03-12 00:00:00,1.59896,% WEIGHTED ILI
2002-03-19 00:00:00,2.16697,% WEIGHTED ILI
2002-03-26 00:00:00,2.57842,% WEIGHTED ILI
2002-04-02 00:00:00,2.38636,% WEIGHTED ILI
2002-04-09 00:00:00,1.7362099999999998,% WEIGHTED ILI
2002-04-16 00:00:00,2.06296,% WEIGHTED ILI
2002-04-23 00:00:00,2.58113,% WEIGHTED ILI
2002-04-30 00:00:00,2.93909,% WEIGHTED ILI
2002-05-07 00:00:00,3.22539,% WEIGHTED ILI
2002-05-14 00:00:00,3.06982,% WEIGHTED ILI
2002-05-21 00:00:00,3.20044,% WEIGHTED ILI
2002-05-28 00:00:00,2.44888,% WEIGHTED ILI
2002-06-04 00:00:00,2.1344,% WEIGHTED ILI
2002-06-11 00:00:00,1.99866,% WEIGHTED ILI
2002-06-18 00:00:00,1.93849,% WEIGHTED ILI
2002-06-25 00:00:00,1.41293,% WEIGHTED ILI
2002-07-02 00:00:00,1.23472,% WEIGHTED ILI
2002-07-09 00:00:00,1.20005,% WEIGHTED ILI
2002-07-16 00:00:00,0.910135,% WEIGHTED ILI
2002-07-23 00:00:00,0.932265,% WEIGHTED ILI
2002-07-30 00:00:00,0.692175,% WEIGHTED ILI
2002-08-06 00:00:00,0.6694060000000001,% WEIGHTED ILI
2002-08-13 00:00:00,0.727705,% WEIGHTED ILI
2002-08-20 00:00:00,0.717701,% WEIGHTED ILI
2002-08-27 00:00:00,0.7893939999999999,% WEIGHTED ILI
2002-09-03 00:00:00,0.722129,% WEIGHTED ILI
2002-09-10 00:00:00,0.591326,% WEIGHTED ILI
2002-09-17 00:00:00,0.52307,% WEIGHTED ILI
2002-09-24 00:00:00,0.4502359999999999,% WEIGHTED ILI
2002-10-01 00:00:00,0.397421,% WEIGHTED ILI
2002-10-08 00:00:00,0.448002,% WEIGHTED ILI
2002-10-15 00:00:00,0.474767,% WEIGHTED ILI
2002-10-22 00:00:00,0.453251,% WEIGHTED ILI
2002-10-29 00:00:00,0.3521579999999999,% WEIGHTED ILI
2002-11-05 00:00:00,0.5253220000000001,% WEIGHTED ILI
2002-11-12 00:00:00,0.492991,% WEIGHTED ILI
2002-11-19 00:00:00,0.542728,% WEIGHTED ILI
2002-11-26 00:00:00,0.490347,% WEIGHTED ILI
2002-12-03 00:00:00,0.7359140000000001,% WEIGHTED ILI
2002-12-10 00:00:00,0.581771,% WEIGHTED ILI
2002-12-17 00:00:00,0.654162,% WEIGHTED ILI
2002-12-24 00:00:00,0.749504,% WEIGHTED ILI
2002-12-31 00:00:00,0.884021,% WEIGHTED ILI
2003-01-07 00:00:00,1.02773,% WEIGHTED ILI
2003-01-14 00:00:00,1.28296,% WEIGHTED ILI
2003-01-21 00:00:00,1.32661,% WEIGHTED ILI
2003-01-28 00:00:00,1.7730400000000002,% WEIGHTED ILI
2003-02-04 00:00:00,2.43814,% WEIGHTED ILI
